45341,28,1,1,28.13,1,34,1,112.5,1
12958,37,2,1,12.95,1,53,1,37,0
18233,27,3,0,0,1,28,0,13,0
31742,36,3,0,0,1,1,0,34,0
14381,26,4,0,23.76,1,33,0,39.6,0
9279,39,4,0,59.4,1,78,0,99,0
6217,34,4,0,23.76,1,27,0,0,0
52027,45,2,1,9.1,1,10,2,26,0
24167,32,1,1,63.21,1,368,2,252.85,1
19885,59,1,1,63.21,1,377,1,252.85,0
61994,27,1,1,5,1,9,2,20,0
35976,36,3,0,0,1,74,0,16,1
29735,36,3,0,0,1,19,0,80,0
42658,33,1,1,17.25,1,27,2,69,1
60638,50,1,1,54,1,364,2,216,0
17806,36,3,0,0,1,5,0,112,0
46954,67,1,1,54,1,371,1,216,0
51358,55,4,0,17.82,1,44,0,29.7,0
21920,47,2,1,12.6,1,12,2,36,0
27267,41,2,1,23.45,1,29,2,67,0
38527,36,3,0,0,1,7,0,81,0
6329,36,3,0,0,1,177,0,59,0
24367,43,2,1,51.45,1,38,2,147,0
40883,35,2,1,6.3,1,1,2,18,0
1720,46,3,0,0,1,1,0,20,0
40960,36,3,0,0,1,26,0,29,0
39596,51,3,0,0,1,66,0,80,0
62283,53,3,0,0,1,5,0,54,0
26311,36,3,0,0,1,44,0,22,0
30854,45,1,1,4.25,1,61,1,17,0
62805,28,1,1,6.75,1,10,1,27,1
51781,36,3,0,0,1,4,0,38,0
50457,36,3,0,0,1,27,0,21,0
8468,36,3,0,0,1,100,0,48,0
54880,36,3,0,0,1,2,0,10,0
12141,36,3,0,0,1,41,0,21,0
7848,36,3,0,0,1,28,0,47,0
58622,35,3,0,0,1,10,0,85,0
1478,22,3,0,0,1,96,0,24,0
1132,40,3,0,0,1,82,0,26,0
35227,24,1,1,3.38,1,5,1,13.5,1
33778,29,1,1,8.63,1,21,1,34.5,0
55825,36,3,0,0,1,1,0,10,0
33090,36,3,0,0,1,12,0,89,0
9904,38,2,1,6.3,1,16,1,-18,0
46922,28,1,1,20.13,1,25,1,80.5,0
41419,28,1,1,5.25,1,13,1,21,1
25390,36,3,0,0,1,71,0,13,0
30937,36,3,0,0,1,21,0,80,0
40980,33,3,0,0,1,27,0,80,0
10558,40,2,1,21.35,1,88,2,61,1
922,79,2,1,12.25,1,36,2,35,0
60720,118,5,1,31.2,1,25,1,78,1
42020,60,6,0,10.5,0,112,1,30,0
38117,47,1,1,18,1,21,1,72,1
46952,47,1,1,64.8,1,372,1,259.2,0
49956,30,3,0,0,1,23,0,110,0
60887,49,2,1,11.55,1,7,2,33,1
60287,41,4,0,65.34,1,19,0,108.9,0
24847,36,3,0,0,1,1,0,10,0
49061,36,3,0,0,1,22,0,73,0
21669,48,7,1,0.22,1,22,0,0.77,0
4045,52,2,1,6.3,1,1,2,18,0
15811,28,3,0,0,1,26,0,34,0
38910,36,3,0,0,1,3,0,34,1
30183,54,4,0,35.64,1,7,0,59.4,0
59373,16,1,1,7.38,1,8,2,29.5,0
32623,46,4,0,5.94,1,7,0,9.9,0
37108,34,1,1,4.25,1,8,2,17,1
28549,36,1,1,3.38,1,53,2,13.5,0
22096,36,3,0,0,1,3,0,17,0
62475,35,3,0,0,1,5,0,10,0
55590,67,4,0,41.58,1,33,0,69.3,0
18559,26,1,1,9.59,1,10,1,38.35,1
58388,26,1,1,54,1,364,1,216,0
38781,21,1,1,7.38,1,12,2,29.5,0
43763,36,3,0,0,1,11,0,27,0
3672,36,3,0,0,1,147,0,35,1
5424,47,2,1,12.95,1,151,1,37,0
60679,45,3,0,0,1,51,0,112,1
47696,22,3,0,0,1,5,0,10,0
1223,48,4,0,11.88,1,4,0,19.8,0
49960,36,3,0,0,1,7,0,32,0
31524,37,4,0,95.04,1,61,0,158.4,1
8439,36,3,0,0,1,28,0,55,0
60201,36,8,1,12.4,1,21,0,31,0
7032,28,3,0,0,1,131,0,10,0
55958,35,4,0,17.82,1,22,0,29.7,1
4420,48,1,1,75.25,1,390,1,301,1
56484,22,1,1,84.13,1,197,1,336.5,1
54425,36,3,0,0,1,40,0,10,0
12501,50,3,0,0,1,16,0,20,0
19735,36,3,0,0,1,21,0,20,0
48719,64,3,0,0,1,7,0,10,0
248,45,1,1,10.89,1,10,2,43.55,1
28829,36,3,0,0,1,15,0,53,0
6201,118,9,1,14,1,27,2,40,0
38720,36,3,0,0,1,78,0,18,0
5549,36,3,0,0,1,68,0,15,0
39774,36,3,0,0,1,138,0,16,0
56246,33,10,0,166.53,1,379,1,256.2,1
31488,59,2,1,6.3,1,5,1,18,0
31594,39,3,0,0,1,4,0,54,0
52006,41,8,1,6,1,110,0,15,0
8600,36,3,0,0,1,24,0,35,0
58091,33,3,0,0,1,40,0,22,0
28073,52,1,1,4.25,1,11,2,17,1
18809,31,4,0,17.82,1,5,0,29.7,0
55915,22,1,1,5.63,1,19,2,22.5,1
33288,36,3,0,0,1,18,0,49,0
